year,category,index_level,pct_change_since_2000
2037,Education,394.1892888325847,892.6356875083405
2038,Education,417.84064616253977,952.193828758841
2039,Education,442.91108493229217,1015.3254584843716
2040,Education,469.48575002822975,1082.244985993434
2041,Education,497.6548950299236,1153.17968515304
2042,Education,527.5141887317191,1228.3704662622226
2043,Education,559.1650400556223,1308.072694237956
2044,Education,592.7149424589596,1392.5570558922334
2045,Education,628.2778390064973,1482.110479245768
2000,Housing,49.69693635770006,0.0
2001,Housing,52.67875253916207,6.000000000000005
2002,Housing,55.839477691511796,12.360000000000015
2003,Housing,59.18984635300251,19.10160000000003
2004,Housing,62.74123713418266,26.247696000000033
2005,Housing,66.50571136223363,33.82255776000005
2006,Housing,70.49605404396765,41.851911225600055
2007,Housing,74.7258172866057,50.36302589913606
2008,Housing,79.20936632380204,59.38480745308421
2009,Housing,83.96192830323017,68.94789590026926
2010,Housing,88.99964400142399,79.08476965428544
2011,Housing,94.33962264150944,89.8298558335426
2012,Housing,100.0,101.21964718355514
2013,Housing,104.99293326896112,111.26640989146908
2014,Housing,110.23516036420524,121.81480075708002
2015,Housing,115.7391283601223,132.88986573956007
2016,Housing,121.51790580522047,144.5179013261095
2017,Housing,127.58521375191417,156.72651696998633
2018,Housing,133.95545833560865,169.54470064602592
2019,Housing,140.64376498043663,183.00288767930306
2020,Housing,147.66601431286435,197.1330330103637
2021,Housing,155.03887986844026,211.96868706861142
2022,Housing,162.7798676812163,227.54507543400132
2023,Housing,170.90735784984267,243.89918247618945
2024,Housing,179.44064817902992,261.0698391697285
2025,Housing,188.4000000000002,279.0978152938183
2026,Housing,195.9360000000002,294.261727905571
2027,Housing,203.77344000000022,310.0321970217939
2028,Housing,211.92437760000024,326.43348490266567
2029,Housing,220.40135270400026,343.4908242987722
2030,Housing,229.21740681216028,361.2304572707232
2031,Housing,238.3861030846467,379.6796755615521
2032,Housing,247.92154720803256,398.8668625840142
2033,Housing,257.83840909635387,418.8215370873748
2034,Housing,268.151945460208,439.5743985708698
2035,Housing,278.87802327861635,461.1573745137046
2036,Housing,290.033144209761,483.6036694942528
2037,Housing,301.63446997815146,506.94781627402295
2038,Housing,313.6998487772775,531.2257289249839
2039,Housing,326.2478427283686,556.474758081983
2040,Housing,339.2977564375033,582.7337484052624
2041,Housing,352.86966669500345,610.043098341473
2042,Housing,366.9844533628036,638.4448222751319
2043,Housing,381.66383149731575,667.9826151661372
2044,Housing,396.9303847572084,698.7019197727827
2045,Housing,412.80760014749677,730.649996563694
2000,Food & beverages,49.69693635770006,0.0
2001,Food & beverages,52.67875253916207,6.000000000000005
2002,Food & beverages,55.839477691511796,12.360000000000015
2003,Food & beverages,59.18984635300251,19.10160000000003
2004,Food & beverages,62.74123713418266,26.247696000000033
2005,Food & beverages,66.50571136223363,33.82255776000005
2006,Food & beverages,70.49605404396765,41.851911225600055
2007,Food & beverages,74.7258172866057,50.36302589913606
2008,Food & beverages,79.20936632380204,59.38480745308421
2009,Food & beverages,83.96192830323017,68.94789590026926
2010,Food & beverages,88.99964400142399,79.08476965428544
2011,Food & beverages,94.33962264150944,89.8298558335426
2012,Food & beverages,100.0,101.21964718355514
2013,Food & beverages,105.58145662040157,112.45063450283035
2014,Food & beverages,111.47443982085738,124.30847450737375
2015,Food & beverages,117.6963373222942,136.8281547078873
2016,Food & beverages,124.26550733373955,150.04661542780556
2017,Food & beverages,131.20133271969416,164.0028587986909
2018,Food & beverages,138.52427819083263,178.73806383915985
2019,Food & beverages,146.25595068677836,194.2957079568898
2020,Food & beverages,154.4191631291168,210.7216952322073
2021,Food & beverages,163.0380017327556,228.0644918617693
2022,Food & beverages,172.1378970742389,246.3752691619748
2023,Food & beverages,181.74569912670904,265.7080545540496
2024,Food & beverages,191.88975648291185,286.11989097629834
2025,Food & beverages,202.5999999999998,307.6710051938823
2026,Food & beverages,210.70399999999978,323.9778454016376
2027,Food & beverages,219.13215999999977,340.9369592177031
2028,Food & beverages,227.89744639999978,358.57443758641125
2029,Food & beverages,237.01334425599978,376.9174150898677
2030,Food & beverages,246.49387802623977,395.99411169346246
2031,Food & beverages,256.3536331472894,415.833876161201
2032,Food & beverages,266.60777847318093,436.467231207649
2033,Food & beverages,277.2720896121082,457.92592045595495
2034,Food & beverages,288.3629731965925,480.24295727419315
2035,Food & beverages,299.8974921244562,503.45267556516086
2036,Food & beverages,311.8933918094345,527.5907825877673
2037,Food & beverages,324.36912748181186,552.694413891278
2038,Food & beverages,337.34389258108433,578.8021904469291
2039,Food & beverages,350.8376482843277,605.9542780648063
2040,Food & beverages,364.8711542157008,634.1924491873986
2041,Food & beverages,379.4660003843289,663.5601471548946
2042,Food & beverages,394.64464039970204,694.1025530410903
2043,Food & beverages,410.43042601569016,725.8666551627341
2044,Food & beverages,426.8476430563178,758.9013213692434
2045,Food & beverages,443.9215487785705,793.2573742240132
2000,Transport & communication,55.68374181775592,0.0
2001,Transport & communication,58.46792890864372,5.000000000000004
2002,Transport & communication,61.39132535407591,10.250000000000004
2003,Transport & communication,64.46089162177971,15.762500000000014
2004,Transport & communication,67.6839362028687,21.550625000000025
2005,Transport & communication,71.06813301301213,27.628156250000014
2006,Transport & communication,74.62153966366274,34.00956406250004
2007,Transport & communication,78.35261664684589,40.71004226562505
2008,Transport & communication,82.27024747918819,47.7455443789063
2009,Transport & communication,86.3837598531476,55.132821597851624
2010,Transport & communication,90.70294784580499,62.88946267774422
2011,Transport & communication,95.23809523809524,71.03393581163144
2012,Transport & communication,100.0,79.58563260221301
2013,Transport & communication,104.27859569666767,87.2693757505647
2014,Transport & communication,108.74025520469075,95.28187520260477
2015,Transport & communication,113.39281108442408,103.63719711139532
2016,Transport & communication,118.24443101981275,112.35000946381813
2017,Transport & communication,123.30363215697562,121.43560783061042
2018,Transport & communication,128.5792960562789,130.90994221814077
2019,Transport & communication,134.08068428414842,140.78964506906397
2020,Transport & communication,139.81745467199255,151.09206046101025
2021,Transport & communication,145.79967827077868,161.8352745545692
2022,Transport & communication,152.03785703102753,173.03814734401897
2023,Transport & communication,158.5429422392628,184.72034576654127
2024,Transport & communication,165.3263537432822,196.90237822804582
2025,Transport & communication,172.39999999999984,209.60563060621493
2026,Transport & communication,178.43399999999983,220.44182767743243
2027,Transport & communication,184.6791899999998,231.65729164614257
2028,Transport & communication,191.1429616499998,243.26529685375755
2029,Transport & communication,197.83296530774976,255.27958224363903
2030,Transport & communication,204.757119093521,267.7143676221664
2031,Transport & communication,211.92361826179422,280.58437048894217
2032,Transport & communication,219.340944900957,293.9048234560551
2033,Transport & communication,227.01787797249048,307.691492277017
2034,Transport & communication,234.96350370152763,321.96069450671257
2035,Transport & communication,243.18722633108106,336.7293188144474
2036,Transport & communication,251.69877925266888,352.0148449729531
2037,Transport & communication,260.5082365265123,367.83536454700646
2038,Transport & communication,269.6260248049402,384.2096023061516
2039,Transport & communication,279.0629356731131,401.1569383868669
2040,Transport & communication,288.830138421672,418.6974312304072
2041,Transport & communication,298.9391932664305,436.8518413234714
2042,Transport & communication,309.4020650307555,455.6416557697928
2043,Transport & communication,320.23113730683195,475.0891137217355
2044,Transport & communication,331.4392271125711,495.21723270199624
2045,Transport & communication,343.039600061511,516.049835846566
2000,Clothing & footwear,55.68374181775592,0.0
2001,Clothing & footwear,58.46792890864372,5.000000000000004
2002,Clothing & footwear,61.39132535407591,10.250000000000004
2003,Clothing & footwear,64.46089162177971,15.762500000000014
2004,Clothing & footwear,67.6839362028687,21.550625000000025
2005,Clothing & footwear,71.06813301301213,27.628156250000014
2006,Clothing & footwear,74.62153966366274,34.00956406250004
2007,Clothing & footwear,78.35261664684589,40.71004226562505
2008,Clothing & footwear,82.27024747918819,47.7455443789063
2009,Clothing & footwear,86.3837598531476,55.132821597851624
2010,Clothing & footwear,90.70294784580499,62.88946267774422
2011,Clothing & footwear,95.23809523809524,71.03393581163144
2012,Clothing & footwear,100.0,79.58563260221301
2013,Clothing & footwear,105.36638580563115,89.22289049913108
2014,Clothing & footwear,111.0207525774111,99.37732083588142
2015,Clothing & footwear,116.97855448503017,110.07667708086584
2016,Clothing & footwear,123.25607502854734,121.35020206067506
2017,Clothing & footwear,129.8704715434574,133.228707884795
2018,Clothing & footwear,136.83982209407174,145.74466015938157
2019,Clothing & footwear,144.18317488337894,158.93226672027117
2020,Clothing & footwear,151.92060031442892,172.8275711277468
2021,Clothing & footwear,160.07324584553209,187.46855117859445
2022,Clothing & footwear,168.66339378919977,202.89522270469607
2023,Clothing & footwear,177.71452221279918,219.14974894185576
2024,Clothing & footwear,187.25136910737206,236.27655576777897
2025,Clothing & footwear,197.30000000000007,254.3224531241664
2026,Clothing & footwear,204.20550000000006,266.7237389835122
2027,Clothing & footwear,211.35269250000005,279.5590698479351
2028,Clothing & footwear,218.75003673750004,292.8436372926128
2029,Clothing & footwear,226.40628802331253,306.59316459785424
2030,Clothing & footwear,234.33050810412846,320.82392535877915
2031,Clothing & footwear,242.53207588777292,335.5527627463363
2032,Clothing & footwear,251.02069854384496,350.79710944245807
2033,Clothing & footwear,259.8064229928795,366.57500827294405
2034,Clothing & footwear,268.8996477976303,382.9051335624971
2035,Clothing & footwear,278.3111354705473,399.80681323718443
2036,Clothing & footwear,288.0520252120164,417.30005170048577
2037,Clothing & footwear,298.133846094437,435.4055535100028
2038,Clothing & footwear,308.56853070774224,454.14474788285276
2039,Clothing & footwear,319.3684292825132,473.53981405875265
2040,Clothing & footwear,330.54632430740116,493.613707550809
2041,Clothing & footwear,342.1154456581602,514.3901873150872
2042,Clothing & footwear,354.08948625619576,535.8938438711152
2043,Clothing & footwear,366.48261827516257,558.1501284066042
2044,Clothing & footwear,379.30950991479324,581.1853829008353
2045,Clothing & footwear,392.585342761811,605.0268713023645
2000,Personal care & effects,44.4011959240735,0.0
2001,Personal care & effects,47.50927963875865,7.000000000000006
2002,Personal care & effects,50.83492921347176,14.490000000000025
2003,Personal care & effects,54.39337425841479,22.504300000000033
2004,Personal care & effects,58.20091045650383,31.079601000000046
2005,Personal care & effects,62.2749741884591,40.25517307000006
2006,Personal care & effects,66.63422238165124,50.07303518490007
2007,Personal care & effects,71.29861794836683,60.57814764784308
2008,Personal care & effects,76.2895212047525,71.81861798319208
2009,Personal care & effects,81.62978768908518,83.84592124201554
2010,Personal care & effects,87.34387282732115,96.71513572895665
2011,Personal care & effects,93.45794392523364,110.48519522998363
2012,Personal care & effects,100.0,125.21915889608249
2013,Personal care & effects,107.51157703805218,142.13666952101488
2014,Personal care & effects,115.5873919720903,160.32495198945975
2015,Personal care & effects,124.26982796634921,179.8794613074204
2016,Personal care & effects,133.60445182909646,200.90282265721277
2017,Personal care & effects,143.64025315450635,223.50536999078284
2018,Personal care & effects,154.42990142786027,247.8057250798762
2019,Personal care & effects,166.03002244340206,273.93142006200713
2020,Personal care & effects,178.50149548553355,302.01956674944734
2021,Personal care & effects,191.90977283300464,332.2175762138757
2022,Personal care & effects,206.32522326290672,364.6839324231829
2023,Personal care & effects,221.8235013572331,399.58902399060054
2024,Personal care & effects,238.48594455018642,437.11603840130755
2025,Personal care & effects,256.4000000000001,477.46192340955577
2026,Personal care & effects,269.2200000000001,506.3350195800335
2027,Personal care & effects,282.6810000000001,536.6517705590352
2028,Personal care & effects,296.8150500000001,568.484359086987
2029,Personal care & effects,311.6558025000001,601.9085770413363
2030,Personal care & effects,327.23859262500014,637.0040058934032
2031,Personal care & effects,343.60052225625014,673.8542061880734
2032,Personal care & effects,360.78054836906267,712.546916497477
2033,Personal care & effects,378.8195757875158,753.174262322351
2034,Personal care & effects,397.76055457689165,795.8329754384686
2035,Personal care & effects,417.6485823057362,840.6246242103921
2036,Personal care & effects,438.53101142102304,887.6558554209115
2037,Personal care & effects,460.4575619920742,937.0386481919572
2038,Personal care & effects,483.48044009167796,988.8905806015553
2039,Personal care & effects,507.6544620962619,1043.335109631633
2040,Personal care & effects,533.037185201075,1100.5018651132148
2041,Personal care & effects,559.6890444611288,1160.5269583688755
2042,Personal care & effects,587.6734966841852,1223.5533062873194
2043,Personal care & effects,617.0571715183945,1289.7309716016853
2044,Personal care & effects,647.9100300943143,1359.2175201817695
2045,Personal care & effects,680.30553159903,1432.1783961908582
2000,Household goods & services,55.68374181775592,0.0
2001,Household goods & services,58.46792890864372,5.000000000000004
2002,Household goods & services,61.39132535407591,10.250000000000004
2003,Household goods & services,64.46089162177971,15.762500000000014
2004,Household goods & services,67.6839362028687,21.550625000000025
2005,Household goods & services,71.06813301301213,27.628156250000014
2006,Household goods & services,74.62153966366274,34.00956406250004
2007,Household goods & services,78.35261664684589,40.71004226562505
2008,Household goods & services,82.27024747918819,47.7455443789063
2009,Household goods & services,86.3837598531476,55.132821597851624
2010,Household goods & services,90.70294784580499,62.88946267774422
2011,Household goods & services,95.23809523809524,71.03393581163144
2012,Household goods & services,100.0,79.58563260221301
2013,Household goods & services,104.89377634881888,88.37415181637687
2014,Household goods & services,110.02704316716033,97.59276150525487
2015,Household goods & services,115.41152058297955,107.26250933477708
2016,Household goods & services,121.05950228108162,117.40547299657092
2017,Household goods & services,126.98388357171103,128.0448106151149
2018,Household goods & services,133.1981908327551,139.20481362170617
2019,Household goods & services,139.7166123927831,150.9109622159615
2020,Household goods & services,146.55403092543204,163.18998354148002
2021,Household goods & services,153.72605742910153,176.06991270849326
2022,Household goods & services,161.2490668695386,189.5801568028264
2023,Household goods & services,169.14023556669122,203.7515620273157
2024,Household goods & services,177.41758041119047,218.61648412897634
2025,Household goods & services,186.1,234.2088622727184
2026,Household goods & services,193.544,247.57721676362715
2027,Household goods & services,201.28576,261.48030543417224
2028,Household goods & services,209.33719040000003,275.9395176515392
2029,Household goods & services,217.71067801600003,290.9770983576007
2030,Household goods & services,226.41910513664004,306.61618229190475
2031,Household goods & services,235.47586934210565,322.880829583581
2032,Household goods & services,244.8949041157899,339.7960627669243
2033,Household goods & services,254.6907002804215,357.38790527760125
2034,Household goods & services,264.87832829163835,375.6834214887053
2035,Household goods & services,275.4734614233039,394.71075834825353
2036,Household goods & services,286.49239988023606,414.49918868218367
2037,Household goods & services,297.95209587544554,435.07915622947104
2038,Household goods & services,309.8701797104634,456.48232247865
2039,Household goods & services,322.26498689888194,478.74161537779605
2040,Household goods & services,335.15558637483724,501.89127999290787
2041,Household goods & services,348.56180982983074,525.9669311926242
2042,Household goods & services,362.50428222302395,551.0056084403292
2043,Household goods & services,377.0044535119449,577.0458327779423
2044,Household goods & services,392.08463165242273,604.1276660890601
2045,Household goods & services,407.76801691851966,632.2927727326226
2000,Fuel & light,49.69693635770006,0.0
2001,Fuel & light,52.67875253916207,6.000000000000005
2002,Fuel & light,55.839477691511796,12.360000000000015
2003,Fuel & light,59.18984635300251,19.10160000000003
2004,Fuel & light,62.74123713418266,26.247696000000033
2005,Fuel & light,66.50571136223363,33.82255776000005
2006,Fuel & light,70.49605404396765,41.851911225600055
2007,Fuel & light,74.7258172866057,50.36302589913606
2008,Fuel & light,79.20936632380204,59.38480745308421
2009,Fuel & light,83.96192830323017,68.94789590026926
2010,Fuel & light,88.99964400142399,79.08476965428544
2011,Fuel & light,94.33962264150944,89.8298558335426
2012,Fuel & light,100.0,101.21964718355514
2013,Fuel & light,104.65645302951458,110.58934554081232
2014,Fuel & light,109.52973160718992,120.39533950108243
2015,Fuel & light,114.62993211283211,130.65794496418954
2016,Fuel & light,119.96762105943058,141.3984238302906
2017,Fuel & light,125.55385698468902,152.63902804993666
2018,Fuel & light,131.40021336192498,164.4030457253041
2019,Fuel & light,137.51880257780496,176.71484935810886
2020,Fuel & light,143.92230102659136,189.59994634416128
2021,Fuel & light,150.62397537289118,203.08503181917663
2022,Fuel & light,157.63771003731748,217.19804396532592
2023,Fuel & light,164.97803596200757,231.96822189311033
2024,Fuel & light,172.66016071559412,247.42616621847776
2025,Fuel & light,180.70000000000016,263.6039024606844
2026,Fuel & light,187.92800000000017,278.14805855911186
2027,Fuel & light,195.44512000000017,293.2739809014763
2028,Fuel & light,203.26292480000018,309.0049401375354
2029,Fuel & light,211.3934417920002,325.3651377430368
2030,Fuel & light,219.84917946368023,342.3797432527583
2031,Fuel & light,228.64314664222744,360.07493298286863
2032,Fuel & light,237.78887250791655,378.47793030218344
2033,Fuel & light,247.30042740823322,397.6170475142708
2034,Fuel & light,257.19244450456256,417.5217294148417
2035,Fuel & light,267.48014228474506,438.22259859143526
2036,Fuel & light,278.17934797613486,459.7515025350927
2037,Fuel & light,289.30652189518025,482.1415626364964
2038,Fuel & light,300.87878277098747,505.4272251419563
2039,Fuel & light,312.913934081827,529.6443141476345
2040,Fuel & light,325.4304914451001,554.8300867135399
2041,Fuel & light,338.44771110290407,581.0232901820815
2042,Fuel & light,351.98561954702024,608.2642217893648
2043,Fuel & light,366.0650443289011,636.5947906609395
2044,Fuel & light,380.70764610205714,666.0585822873771
2045,Fuel & light,395.9359519461394,696.7009255788722
2000,Miscellaneous services,49.69693635770006,0.0
2001,Miscellaneous services,52.67875253916207,6.000000000000005
2002,Miscellaneous services,55.839477691511796,12.360000000000015
2003,Miscellaneous services,59.18984635300251,19.10160000000003
2004,Miscellaneous services,62.74123713418266,26.247696000000033
2005,Miscellaneous services,66.50571136223363,33.82255776000005
2006,Miscellaneous services,70.49605404396765,41.851911225600055
2007,Miscellaneous services,74.7258172866057,50.36302589913606
2008,Miscellaneous services,79.20936632380204,59.38480745308421
2009,Miscellaneous services,83.96192830323017,68.94789590026926
2010,Miscellaneous services,88.99964400142399,79.08476965428544
2011,Miscellaneous services,94.33962264150944,89.8298558335426
2012,Miscellaneous services,100.0,101.21964718355514
2013,Miscellaneous services,105.34170307418285,111.96820326301898
2014,Miscellaneous services,110.96874406569303,123.29091529300982
2015,Miscellaneous services,116.89636487883224,135.2184529795875
2016,Miscellaneous services,123.14062159517282,147.78312431344344
2017,Miscellaneous services,129.71842796449002,161.01896308220094
2018,Miscellaneous services,136.64760121885084,174.96182105736304
2019,Miscellaneous services,143.94691033395532,189.64946510561336
2020,Miscellaneous services,151.63612686845542,205.12167948751406
2021,Miscellaneous services,159.73607851895952,221.42037362069695
2022,Miscellaneous services,168.2687055357859,238.58969559944373
2023,Miscellaneous services,177.25712015227865,256.67615177814554
2024,Miscellaneous services,186.7256691886609,275.7287327425558
2025,Miscellaneous services,196.7000000000001,295.79904601005313
2026,Miscellaneous services,204.56800000000013,311.6310078504553
2027,Miscellaneous services,212.75072000000014,328.09624816447354
2028,Miscellaneous services,221.26074880000016,345.2200980910526
2029,Miscellaneous services,230.11117875200017,363.02890201469467
2030,Miscellaneous services,239.3156259020802,381.55005809528245
2031,Miscellaneous services,248.88825093816342,400.8120604190938
2032,Miscellaneous services,258.84378097569,420.8445428358576
2033,Miscellaneous services,269.19753221471757,441.6783245492919
2034,Miscellaneous services,279.96543350330626,463.34545753126355
2035,Miscellaneous services,291.16405084343853,485.87927583251417
2036,Miscellaneous services,302.8106128771761,509.31444686581466
2037,Miscellaneous services,314.92303739226315,533.6870247404473
2038,Miscellaneous services,327.5199588879537,559.0345057300652
2039,Miscellaneous services,340.62075724347187,585.395885959268
2040,Miscellaneous services,354.24558753321077,612.8117213976387
2041,Miscellaneous services,368.4154110345392,641.3241902535442
2042,Miscellaneous services,383.15202747592076,670.977157863686
2043,Miscellaneous services,398.4781085749576,701.8162441782335
2044,Miscellaneous services,414.4172329179559,733.8888939453628
2045,Miscellaneous services,430.9939222346742,767.2444497031775
2000,All items CPI,49.69693635770006,0.0
2001,All items CPI,52.67875253916207,6.000000000000005
2002,All items CPI,55.839477691511796,12.360000000000015
2003,All items CPI,59.18984635300251,19.10160000000003
2004,All items CPI,62.74123713418266,26.247696000000033
2005,All items CPI,66.50571136223363,33.82255776000005
2006,All items CPI,70.49605404396765,41.851911225600055
2007,All items CPI,74.7258172866057,50.36302589913606
2008,All items CPI,79.20936632380204,59.38480745308421
2009,All items CPI,83.96192830323017,68.94789590026926
2010,All items CPI,88.99964400142399,79.08476965428544
2011,All items CPI,94.33962264150944,89.8298558335426
2012,All items CPI,100.0,101.21964718355514
2013,All items CPI,105.3909993465209,112.06739704829225
2014,All items CPI,111.07262743258369,123.49994903734958
2015,All items CPI,117.06055205163787,135.54882982942763
2016,All items CPI,123.37128564777542,148.24726570626973
2017,All items CPI,130.02223085084142,161.63027417825072
2018,All items CPI,137.03172846634217,175.73476054950103
2019,All items CPI,144.41910805248898,190.59961968885563
2020,All items CPI,152.20474122384996,206.265843287274
2021,All items CPI,160.41009782860155,222.77663289750768
2022,All items CPI,169.05780515429498,240.17751906773447
2023,All items CPI,178.1717103254056,258.516486897687
2024,All items CPI,187.77694606473332,277.84410836351105
2025,All items CPI,197.9,298.21368177625567
2026,All items CPI,205.816,314.1422290473058
2027,All items CPI,214.04864,330.70791820919806
2028,All items CPI,222.6105856,347.936234937566
2029,All items CPI,231.51500902400002,365.8536843350687
2030,All items CPI,240.77560938496003,384.48783170847145
2031,All items CPI,250.40663376035843,403.8673449768103
2032,All items CPI,260.4228991107728,424.0220387758828
2033,All items CPI,270.8398150752037,444.98292032691813
2034,All items CPI,281.6734076782119,466.7822371399949
2035,All items CPI,292.9403439853404,489.45352662559475
2036,All items CPI,304.657957744754,513.0316676906185
2037,All items CPI,316.8442760545442,537.5529343982433
2038,All items CPI,329.518047096726,563.0550517741731
2039,All items CPI,342.69876898059505,589.57725384514
2040,All items CPI,356.40671973981887,617.1603439989457
2041,All items CPI,370.6629885294116,645.8467577589035
2042,All items CPI,385.4895080705881,675.6806280692597
2043,All items CPI,400.90908839341165,706.7078531920301
2044,All items CPI,416.94545192914813,738.9761673197114
2045,All items CPI,433.6232700063141,772.5352140124999
